,SurveyID,Age,Type,Employed,FullPart,OwnCell,UsedCell,@3OwnHousePhone,@4UseFreq,BQ4a,BQ4aCont,@5UseLength,BQ5a,BQ5aCont,@6aTexting,@6bEmail,@6cInternet,@6dBank,@6eBills,@6fFacebook,@6gPics,@6hGames,@6iBuy,@7PurchOnline,BQ7a,BQ7aCont,@8CellExper,BQ8a,BQ8b,Comfort,BQ9a,Satisfaction,BQ10a,PA1,PA2,PA3,PA4,PA5,PA6,PA7,PBI1,PBI2,PBI3,PBI4,PBIUse,PBIBuy,PGL1,PGL2,PGL3,Comments,VAR00001,Gender,PAnxiety,PBIntent,PAffect,PGL_sum,Income,Education
0,S4,63.5,1,2.0,,1.0,1.0,1.0,7.0,6.0,56.0,3.0,2.0,0.75,1.0,1.0,1.0,,,1.0,,,,1.0,0.0,0.0,5.0,4.0,3.0,4.0,-1.0,4.0,0.0,5,3,2,3,1,4,3,5,2,4,1,6.3,2.1,6,4,6,,3,1,3.3333333333333335,3.0,2.75,16,1.0,4
1,S5,63.5,1,2.0,,10.0,10.0,1.0,5.0,4.0,12.0,3.0,2.0,0.75,1.0,,,,,,,,,1.0,0.0,0.0,3.0,2.0,1.0,5.0,0.0,3.0,-1.0,4,3,4,2,2,3,2,3,2,4,2,4.9,2.8,4,3,4,,3,0,3.6666666666666665,2.75,2.25,11,2.0,4
2,S8,63.5,1,2.0,,25.0,25.0,1.0,7.0,6.0,56.0,3.0,2.0,0.75,1.0,1.0,,,,,1.0,,,1.0,0.0,0.0,6.0,5.0,4.0,5.0,0.0,5.0,1.0,2,2,2,3,3,3,3,3,3,3,1,4.2,2.8,5,5,5,,2,1,2.0,2.5,3.0,15,2.0,3
3,S12,63.5,1,2.0,,12.0,12.0,1.0,7.0,6.0,56.0,3.0,2.0,0.75,1.0,,,,,,1.0,,,1.0,0.0,0.0,4.0,3.0,2.0,5.0,0.0,5.0,1.0,4,1,1,1,1,3,0,4,1,4,1,5.6,1.4,5,5,5,,2,1,2.0,2.5,1.25,15,3.0,3
4,S13,63.5,1,2.0,,10.0,10.0,1.0,5.0,4.0,12.0,3.0,2.0,0.75,,,,,,,1.0,,,1.0,0.0,0.0,5.0,4.0,3.0,5.0,0.0,3.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4,4,4,,3,1,0.0,0.0,0.0,12,1.0,4
5,S14,63.5,1,1.0,1.0,10.0,10.0,1.0,7.0,6.0,56.0,3.0,2.0,0.75,1.0,,,,,,1.0,,,1.0,0.0,0.0,5.0,4.0,3.0,6.0,1.0,6.0,2.0,1,1,0,4,4,4,5,5,3,4,2,6.3,3.5,9,8,8,,3,1,0.6666666666666666,3.5,4.25,25,5.0,4
6,S15,63.5,1,1.0,2.0,1.0,1.0,1.0,7.0,6.0,56.0,3.0,2.0,0.75,1.0,1.0,,,,1.0,1.0,,,1.0,0.0,0.0,5.0,4.0,3.0,5.0,0.0,5.0,1.0,4,2,1,3,3,3,1,4,3,3,3,4.9,4.2,7,7,7,,2,1,2.3333333333333335,3.25,2.5,21,3.0,3
7,S16,63.5,1,2.0,,10.0,10.0,1.0,7.0,6.0,56.0,3.0,2.0,0.75,1.0,,,,,,1.0,,,1.0,0.0,0.0,5.0,4.0,3.0,4.0,-1.0,5.0,1.0,3,2,2,2,2,3,3,4,3,3,2,4.9,3.5,4,4,4,,3,1,2.3333333333333335,3.0,2.5,12,1.0,4
8,S35,63.5,1,1.0,1.0,10.25,10.25,1.0,7.0,6.0,56.0,5.0,4.0,1.75,1.0,1.0,1.0,,,1.0,1.0,,,1.0,0.0,0.0,6.0,5.0,4.0,8.0,3.0,6.0,2.0,1,1,1,4,4,3,4,4,4,4,4,5.6,5.6,8,8,7,,4,0,1.0,4.0,3.75,23,5.0,5
9,S37,63.5,1,1.0,1.0,8.0,8.0,1.0,5.0,4.0,12.0,7.0,6.0,3.5,1.0,,,,,,,1.0,,1.0,0.0,0.0,6.0,5.0,4.0,5.0,0.0,3.0,-1.0,4,4,4,2,2,4,2,4,2,4,1,5.6,2.1,5,5,4,,4,0,4.0,2.75,2.5,14,5.0,5
